"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"367 ","","","ZIF-11","","/","200-2000","16.50 ","3.00 ","20%","","Matrimid 5218","","70 ","","","","35.0 ","4.0 ","0.26 ","4.20 ","16.15 ","1.65 ","2.80 ","1.69 "
"368 ","","","ZIF-11","","/","200-2000","16.50 ","3.00 ","30%","","Matrimid 5218","","70 ","","","","35.0 ","4.0 ","0.26 ","4.20 ","16.15 ","2.81 ","7.47 ","2.66 "
"369 ","","","ZIF-11","","/","200-2000","16.50 ","3.00 ","40%","","Matrimid 5218","","70 ","","","","35.0 ","4.0 ","0.26 ","4.20 ","16.15 ","0.58 ","2.38 ","4.13 "
"371 ","2017 ","54 ","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","10%","","6FDA-TP","","58 ","","","","35.0 ","","0.50 ","20.00 ","40.00 ","1.20 ","1.30 ","1.08 "
"372 ","","","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","20%","","6FDA-TP","","58 ","","","","35.0 ","","0.50 ","20.00 ","40.00 ","1.40 ","1.45 ","1.04 "
"373 ","","","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","40%","","6FDA-TP","","58 ","","","","35.0 ","","0.50 ","20.00 ","40.00 ","2.60 ","2.25 ","0.87 "
"374 ","","","ZIF-90","","79.0 ","1426.0 ","11.20 ","3.50 ","50%","","6FDA-TP","","58 ","","","","35.0 ","","0.50 ","20.00 ","40.00 ","3.60 ","3.15 ","0.88 "
"20","2012","4","MIL-53 Al","NH2","125","1365","8.5","8.5","25.00%","","6FDA-ODA","","","","2.8","","35","11.2","2.98 ","14.30 ","4.80 ","1.30 ","1.49 ","1.14 "
"21","","","MIL 53 (Al)","NH2","125","745","7.8","7.8","10.00%"," terephthalic acid →amino ","6FDA-ODA","","","","2.07","","35","11.2","2.98 ","14.30 ","4.80 ","0.46 ","0.99 ","2.15 "
"22","","","MIL 53 (Al)","NH2","125","745","7.8","7.8","15.00%","","6FDA-ODA","","","","2.44","","35","11.2","2.98 ","14.30 ","4.80 ","0.44 ","1.00 ","2.25 "
"23","","","MIL-54 Al","NH2","125","745","7.8","7.8","20.00%","","6FDA-ODA","","","","2.53","","35","11.2","2.98 ","14.30 ","4.80 ","0.41 ","1.01 ","2.46 "
"24","","","MIL 53 (Al)","NH2","125","745","7.8","7.8","25.00%","","6FDA-ODA","","","","3.04","","35","11.2","2.98 ","14.30 ","4.80 ","0.34 ","1.01 ","2.98 "
"25","","","MIL 53 (Al)","NH2","125","745","7.8","7.8","30.00%","","6FDA-ODA","","","","3.05","","35","11.2","2.98 ","14.30 ","4.80 ","0.31 ","1.01 ","3.25 "
"26","","","MIL-55 Al","NH2","125","745","7.8","7.8","32.00%","","6FDA-ODA","","","","3.29","","35","11.2","2.98 ","14.30 ","4.80 ","0.29 ","1.03 ","3.58 "
"27","","","MIL 53 (Al)","NH2","125","745","7.8","7.8","36.00%","","6FDA-ODA","","","","4","","35","11.2","2.98 ","14.30 ","4.80 ","0.48 ","1.03 ","2.15 "
"29","2013","5","MIL-53 Al","","125","1440","8.5","8.5","15.00%","","Matrimid 5218","","61.5","","","","35","11.2","0.20 ","6.20 ","31.00 ","3.55 ","1.08 ","0.30 "
"30","","","NH2-MIL 53 (Al)","","125","840","7.8","7.8","15.00%","","Matrimid 5218","","61.5","","","","35","11.2","0.20 ","6.20 ","31.00 ","22.00 ","1.48 ","0.07 "
"32","","","MIL-53 Al","","125","1440","8.5","8.5","15.00%","","Ultem 100","","61.5","","","","35","11.2","0.20 ","6.20 ","31.00 ","0.20 ","0.29 ","1.39 "
"33","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","15.00%","","Ultem 100","","61.5","","","","35","11.2","0.20 ","6.20 ","31.00 ","0.41 ","0.48 ","1.17 "
"35","","","MIL-53 Al","","125","1440","8.5","8.5","20.00%","","6FDA/ODA-DAM","","61.5","","","","35","11.2","2.30 ","54.10 ","23.52 ","2.09 ","1.14 ","0.54 "
"36","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","10.00%","","6FDA/ODA-DAM","","61.5","","","","35","11.2","2.30 ","54.10 ","23.52 ","0.78 ","0.95 ","1.21 "
"37","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","20.00%","","6FDA/ODA-DAM","","61.5","","","","35","11.2","2.30 ","54.10 ","23.52 ","1.48 ","0.97 ","0.66 "
"38","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","22.00%","","6FDA/ODA-DAM","","61.5","","","","35","11.2","2.30 ","54.10 ","23.52 ","2.09 ","0.92 ","0.44 "
"40","","","MIL-53 Al","","125","1440","8.5","8.5","15.00%","","6FDA/ODA-DAM","","61.5","","2.37","","35","11.2","1.70 ","32.20 ","18.94 ","5.35 ","2.37 ","0.44 "
"41","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","15.00%","","6FDA/ODA-DAM","","61.5","","1.82","","35","11.2","1.70 ","32.20 ","18.94 ","1.41 ","1.55 ","1.10 "
"42","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","20.00%","","6FDA/ODA-DAM","","61.5","","2.35","","35","11.2","1.70 ","32.20 ","18.94 ","1.24 ","1.62 ","1.31 "
"43","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","25.00%","","6FDA/ODA-DAM","","61.5","","2.52","","35","11.2","1.70 ","32.20 ","18.94 ","1.06 ","1.71 ","1.62 "
"44","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","30.00%","","6FDA/ODA-DAM","","61.5","","3.09","","35","11.2","1.70 ","32.20 ","18.94 ","0.94 ","1.82 ","1.93 "
"45","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","32.00%","","6FDA/ODA-DAM","","61.5","","3.2","","35","11.2","1.70 ","32.20 ","18.94 ","1.24 ","1.89 ","1.53 "
"46","","","MIL 53 (Al)","NH2","125","840'","7.8","7.8","35.00%","","6FDA/ODA-DAM","","61.5","","3.42","","35","11.2","1.70 ","32.20 ","18.94 ","1.41 ","2.04 ","1.45 "
"48","","","MIL-53 Al","","125","1440","8.5","8.5","25.00%","","6FDA/ODA-DAM","","61.5","","#REF!","","35","11.2","6.40 ","130.00 ","20.31 ","1.08 ","0.95 ","0.88 "
"49","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","10.00%","","6FDA/ODA-DAM","","61.5","","#REF!","","35","11.2","6.40 ","130.00 ","20.31 ","0.70 ","0.86 ","1.23 "
"50","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","15.00%","","6FDA/ODA-DAM","","61.5","","#REF!","","35","11.2","6.40 ","130.00 ","20.31 ","0.62 ","0.87 ","1.39 "
"51","","","MIL 53 (Al)","NH2","125","840","7.8","7.8","20.00%","","6FDA/ODA-DAM","","61.5","","#REF!","","35","11.2","6.40 ","130.00 ","20.31 ","1.28 ","0.88 ","0.69 "
"53","2014","6","MIL-53 Al","","280","","8.5","8.5","5.00%","","Matrimid5218","","","","0.23","","35","3","0.22 ","6.20 ","28.18 ","1.05 ","1.10 ","1.05 "
"54","","","MIL-53 Al","","280","","8.5","8.5","10.00%","","Matrimid5218","","","","0.24","","35","3","0.22 ","6.20 ","28.18 ","1.09 ","1.20 ","1.10 "
"55","","","MIL-53 Al","","280","","8.5","8.5","15.00%","","Matrimid5218","","","","0.24","","35","3","0.22 ","6.20 ","28.18 ","1.09 ","2.00 ","1.84 "
"56","","","MIL-53 Al","","280","","8.5","8.5","20.00%","","Matrimid5218","","","","0.96","","35","3","0.22 ","6.20 ","28.18 ","4.36 ","2.50 ","0.57 "
"58","2014","7","MIL 53 (Al)","NH2","110","","7.8","7.8","5.00%","","PMP","","65","","","","30","2","11.32 ","98.74 ","8.72 ","0.80 ","1.09 ","1.36 "
"59","","","MIL 53 (Al)","NH2","110","","7.8","7.8","10.00%","","PMP","","65","","3.89","","30","2","11.32 ","98.74 ","8.72 ","0.83 ","1.20 ","1.44 "
"60","","","MIL 53 (Al)","NH2","110","","7.8","7.8","15.00%","","PMP","","65","","","","30","2","11.32 ","98.74 ","8.72 ","0.78 ","1.41 ","1.80 "
"61","","","MIL 53 (Al)","NH2","110","","7.8","7.8","20.00%","","PMP","","65","","4.18","","30","2","11.32 ","98.74 ","8.72 ","0.79 ","1.67 ","2.12 "
"62","","","MIL 53 (Al)","NH2","110","","7.8","7.8","25.00%","","PMP","","65","","","","30","2","11.32 ","98.74 ","8.72 ","0.89 ","2.06 ","2.31 "
"63","","","MIL 53 (Al)","NH2","110","","7.8","7.8","30.00%","","PMP","","65","","4.34","","30","2","11.32 ","98.74 ","8.72 ","0.89 ","2.29 ","2.56 "
"65","2015","8","MIL53 Al","","100","1170","8.5","8.5","5.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.33 ","1.32 ","1.00 "
"66","","","MIL53 Al","","100","1170","8.5","8.5","10.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.72 ","1.70 ","0.99 "
"67","","","MIL 53 (Al)","NH2","100","782","7.8","7.8","5.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.12 ","1.21 ","1.08 "
"68","","","MIL 53 (Al)","NH2","100","782","7.8","7.8","10.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.26 ","1.54 ","1.22 "
"69","","","CuBTC","","15000","1066","9","3.5","5.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.00 ","1.17 ","1.17 "
"70","","","CuBTC","","15000","1066","9","3.5","10.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.12 ","2.19 ","1.96 "
"71","","","CuBTC","","15000","1066","9","3.5","15.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.86 ","3.50 ","3.50 "
"72","","","CuBDC","","15000","626",""," ","5.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.00 ","1.23 ","1.18 "
"73","","","CuBDC","","15000","626","","","10.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.05 ","1.75 ","1.71 "
"74","","","CuBDC","","15000","626","","","15.00%","","PVDF","","","","","","25","0.5","0.04 ","0.92 ","21.28 ","1.02 ","2.17 ","2.12 "
"76","2016","9","MIL-125(Ti)","NH2","650","1300","10.7","6","10.00%","","PSF","","10","","","","30","3","0.43 ","9.50 ","22.00 ","1.51 ","1.95 ","1.29 "
"77","","","MIL-125(Ti)","NH2","650","1300","10.7","6","20.00%","","PSF","","10","","","","30","3","0.43 ","9.50 ","22.00 ","2.30 ","3.08 ","1.34 "
"78","","","MIL-125(Ti)","NH2","650","1300","10.7","6","30.00%","","PSF","","10","","","","30","3","0.43 ","9.50 ","22.00 ","3.17 ","4.21 ","1.33 "
"80","2014","10","MIL53 Al","","100","1590","8.50 ","8.50 ","37.50%","","Matrimid 5218","","55","","","","35.00 ","2.00 ","0.22 ","8.40 ","38.18 ","2.00 ","4.76 ","2.38 "
"81","","","MIL53 Al","","100","1118","8.50 ","8.50 ","33.30%","heating at 330 °C for 3 d","Matrimid 5218","","55","","","","35.00 ","2.00 ","0.22 ","8.40 ","38.18 ","2.64 ","3.17 ","1.20 "
"82","","","MIL53 Al","","100","1118","8.50 ","8.50 ","37.50%","","Matrimid 5218","","55","","","","35.00 ","2.00 ","0.22 ","8.40 ","38.18 ","5.00 ","6.19 ","1.24 "
"96","2020","13","MIL-101(Cr)","","250","2770","12.00 ","12.00 ","8.00%","","6FDA-mPD","","","","","","35","3","0.19 ","10.00 ","54.00 ","1.43 ","1.40 ","0.98 "
"97","","","MIL-101(Cr)","","250","2770","12.00 ","12.00 ","16.00%","","6FDA-mPD","","","","","","35","3","0.19 ","10.00 ","54.00 ","2.90 ","2.90 ","1.00 "
"98","","","MIL-101(Cr)","","250","2770","12.00 ","12.00 ","24.00%","","6FDA-mPD","","","","","","35","3","0.19 ","10.00 ","54.00 ","5.40 ","5.00 ","0.93 "
"99","","","Cu3BTC2","","100","950","","","8.00%","","6FDA-mPD","","","","","","35","3","0.19 ","10.00 ","54.00 ","0.97 ","1.20 ","1.24 "
"100","","","Cu3BTC2","","100","950","","","16.00%","","6FDA-mPD","","","","","","35","3","0.19 ","10.00 ","54.00 ","1.48 ","2.00 ","1.35 "
"135","2018","15","MIL-101(Cr)","","","2730","19.9","12","10.00%","","Matrimid5218","","","","","","35","7","0.21 ","7.33 ","34.90 ","1.10 ","1.64 ","1.50 "
"136","","","MIL-101(Cr)","","","2730","19.9","12","10.00%","","Matrimid 5218/PVDF(3%)","","","","","","35","7","0.22 ","9.42 ","42.82 ","1.09 ","1.58 ","1.45 "
"138","2013","16","MIL 53 (Al)","NH2","650","1350","","6.00 ","8.00%","","Matrimid5218","","55","","","","35","3","0.26 ","9.00 ","34.50 ","0.80 ","0.88 ","1.10 "
"139","","","MIL 53 (Al)","NH2","650","1350","","6.00 ","15.00%","","Matrimid5218","","55","","","","35","3","0.26 ","9.00 ","34.50 ","0.89 ","0.98 ","1.09 "
"140","","","MIL 53 (Al)","NH2","650","1350","","6.00 ","25.00%","","Matrimid5218","","55","","","","35","3","0.26 ","9.00 ","34.50 ","1.54 ","1.61 ","1.04 "
"141","","","MIL 53 (Al)","NH2","650","1350","","6.00 ","25.00%","Petridish 273K","Matrimid5218","","90","","","","35","3","0.26 ","9.00 ","34.50 ","0.97 ","0.91 ","0.94 "
"142","","","MIL 53 (Al)","NH2","650","1350","","6.00 ","25.00%","Petridish 298K","Matrimid5218","","90","","","","35","3","0.26 ","9.00 ","34.50 ","0.95 ","0.96 ","1.00 "
"144","2014","17","MIL 53 (Al)","NH2","1000","1475","","6","15.00%","Solvothermal
","PSF","","75","","","","35","3","0.21 ","5.12 ","24.20 ","1.01 ","1.02 ","1.00 "
"145","","","MIL 53 (Al)","NH2","1000","1475","","6","20.00%","","PSF","","75","","","","35","3","0.21 ","5.12 ","24.20 ","0.92 ","1.01 ","1.10 "
"146","","","MIL 53 (Al)","NH2","1000","1475","","6","25.00%","","PSF","","75","","","","35","3","0.21 ","5.12 ","24.20 ","0.92 ","1.07 ","1.17 "
"147","","","MIL-101(Cr)","NH2","1000","519","19.9","12","8.00%","microwave","PSF","","75","","","","35","3","0.21 ","5.12 ","24.20 ","1.10 ","1.07 ","0.98 "
"148","","","MIL-101(Cr)","NH2","1000","519","19.9","12","15.00%","","PSF","","75","","","","35","3","0.21 ","5.12 ","24.20 ","1.36 ","1.40 ","1.03 "
"149","","","MIL-101(Cr)","NH2","1000","519","19.9","12","25.00%","","PSF","","75","","","","35","3","","","","#DIV/0!","#DIV/0!","#DIV/0!"
"151","","","MIL 53 (Al)","NH2","1000","1475","6","6","15.00%","Solvothermal
","PI","","75","","","","35","3","0.24 ","9.00 ","38.00 ","0.93 ","0.94 ","1.01 "
"152","","","MIL 53 (Al)","NH2","1000","1475","6","6","20.00%","","PI","","75","","","","35","3","0.24 ","9.00 ","38.00 ","0.81 ","0.95 ","1.16 "
"153","","","MIL 53 (Al)","NH2","1000","1475","6","6","25.00%","","PI","","75","","","","35","3","0.24 ","9.00 ","38.00 ","0.97 ","0.91 ","0.94 "
"154","","","MIL-101(Cr)","NH2","1000","519","19.9","12","8.00%","microwave","PI","","75","","","","35","3","0.24 ","9.00 ","38.00 ","1.23 ","1.13 ","0.92 "
"155","","","MIL-101(Cr)","NH2","1000","519","19.9","12","15.00%","","PI","","75","","","","35","3","0.24 ","9.00 ","38.00 ","1.06 ","1.01 ","0.95 "
"168","2013","19","MIL-68","","794","100","6","6","4.00%","one pot 60 ℃","PSF","","","","","","35","0.27","0.19 ","5.40 ","28.42 ","0.89 ","0.87 ","0.97 "
"169","","","MIL-68","","1040","100","6","6","8.00%","one pot 60 ℃","PSF","","","","","","35","0.27","0.19 ","5.40 ","28.42 ","1.05 ","0.87 ","0.83 "
"170","","","MIL-68","","1364","100","6","6","8.00%","one pot 70 ℃","PSF","","","","","","35","0.27","0.19 ","5.40 ","28.42 ","0.89 ","0.98 ","1.10 "
"171","","","MIL-68","","1016","100","6","6","8.00%","convention,80℃","PSF","","","","","","35","0.27","0.19 ","5.40 ","28.42 ","1.21 ","1.13 ","0.93 "
"173","2015","20","MIL-53","","100","1400","8.5","8.5","10.00%","","FDH","","","","","","35","11.2","3.00 ","54.10 ","18.03 ","1.30 ","1.13 ","0.87 "
"174","","","MIL-53","","100","1400","8.5","8.5","15.00%","","FDH","","","","","","35","11.2","3.00 ","54.10 ","18.03 ","1.57 ","1.31 ","0.84 "
"175","","","MIL 53 (Al)","NH2","100","795","7.8","7.8","10.00%","","FDH","","","","","","35","11.2","3.00 ","54.10 ","18.03 ","0.20 ","0.87 ","4.35 "
"176","","","MIL 53 (Al)","NH2","100","795","7.8","7.8","15.00%","","FDH","","","","","","35","11.2","3.00 ","54.10 ","18.03 ","0.27 ","0.86 ","3.24 "
"177","","","MIL 53 (Al)","NH2","100","795","7.8","7.8","20.00%","","FDH","","","","","","35","11.2","3.00 ","54.10 ","18.03 ","0.53 ","0.82 ","1.54 "
"182","2014","22","MIL-53 Al","","200","1200","8.5","8.5","10.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","1.04 ","1.57 ","1.50 "
"183","","","MIL-53 Al","","200","1200","8.5","8.5","20.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","1.06 ","2.05 ","1.94 "
"184","","","MIL-53 Al","","200","1200","8.5","8.5","30.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","1.08 ","2.47 ","2.28 "
"185","","","ZIF-8","","300","1550","1.16","3.4","10.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","0.98 ","1.93 ","1.97 "
"186","","","ZIF-8","","300","1550","1.16","3.4","20.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","1.17 ","2.14 ","1.83 "
"187","","","ZIF-8","","300","1550","1.16","3.4","30.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","1.35 ","2.66 ","1.97 "
"188","","","Cu3(BTC)2","","10000'","1600","12","3.4","10.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","0.70 ","1.42 ","2.02 "
"189","","","Cu3(BTC)2","","10000","1600","12","3.4","20.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","0.75 ","1.77 ","2.37 "
"190","","","Cu3(BTC)2","","10000","1600","12","3.4","30.00%","","Matrimid5218","","55","","","","35","5","0.35 ","8.30 ","23.38 ","0.79 ","1.67 ","2.12 "
"192","2016","23","MIL-125(Ti)","","1500-2000","1040","10.7","5.50 ","5.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","1.14 ","1.25 ","1.10 "
"193","","","MIL-125(Ti)","","1500-2000","1040","10.7","5.50 ","10.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","1.13 ","1.62 ","1.43 "
"194","","","MIL-125(Ti)","","1500-2000","1040","10.7","5.50 ","15.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","1.74 ","2.50 ","1.44 "
"195","","","MIL-125(Ti)","","1500-2000","1040","10.7","5.50 ","20.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","2.37 ","3.00 ","1.27 "
"196","","","MIL-125(Ti)","","1500-2000","1040","10.7","5.50 ","30.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","2.72 ","3.38 ","1.24 "
"197","","","MIL-125(Ti)","NH2","100-200","930","10.7","5.50 ","5.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","1.32 ","1.50 ","1.13 "
"198","","","MIL-125(Ti)","NH2","100-200","930","10.7","5.50 ","10.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","1.26 ","1.88 ","1.48 "
"199","","","MIL-125(Ti)","NH2","100-200","930","10.7","5.50 ","15.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","1.24 ","2.00 ","1.62 "
"200","","","MIL-125(Ti)","NH2","100-200","930","10.7","5.50 ","20.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","2.67 ","3.65 ","1.37 "
"201","","","MIL-125(Ti)","NH2","100-200","930","10.7","5.50 ","30.00%","","Matrimid®9725","","","","","","35","9","0.13 ","4.00 ","30.00 ","5.24 ","6.62 ","1.26 "
"203","2015","24","MIL-101(Cr)","","500","3175","19.9","7.5","10.00%","/","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","0.95 ","1.12 ","1.18 "
"204","","","MIL-101(Cr)","","500","3175","19.9","7.5","20.00%","","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","1.33 ","1.81 ","1.36 "
"205","","","MIL-101(Cr)","","500","3175","19.9","7.5","30.00%","","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","1.31 ","2.11 ","1.60 "
"206","","","MIL-101(Cr)","","500","3175","19.9","7.5","40.00%","","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","1.43 ","2.54 ","1.78 "
"207","","","MIL-101(Cr)","","500","1372","19.9","6.61","10.00%","PEI300 impregnated","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","1.62 ","1.75 ","1.08 "
"208","","","MIL-101(Cr)","","500","1372","19.9","6.61","20.00%","","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","2.42 ","2.74 ","1.13 "
"209","","","MIL-101(Cr)","","500","1372","19.9","6.61","30.00%","","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","2.74 ","3.44 ","1.25 "
"210","","","MIL-101(Cr)","","500","1372","19.9","6.61","40.00%","","SPEEK","","65","","","","25","1","75.40 ","570.00 ","7.56 ","3.00 ","4.37 ","1.46 "
"233","2011","27","MIL 53 (Al)","H2","200×1000","1140","8","8","8.00%","","PSF Udel P-3500","","87.5","","","","35","4","4.90 ","4.90 ","24.00 ","1.18 ","1.02 ","1.21 "
"234","","","MIL 53 (Al)","H2","200×1000","1140","8","8","16.00%","","PSF Udel P-3500","","87.5","","","","35","4","4.90 ","4.90 ","24.00 ","1.14 ","1.20 ","1.38 "
"235","","","MIL 53 (Al)","H2","200×1000","1140","8","8","25.00%","","PSF Udel P-3500","","87.5","","","","35","4","4.90 ","4.90 ","24.00 ","1.44 ","1.33 ","1.92 "
"236","","","MIL 53 (Al)","H2","200×1000","1140","8","8","40.00%","","PSF Udel P-3500","","87.5","","","","35","4","4.90 ","4.90 ","24.00 ","0.32 ","2.24 ","0.71 "
"2","2018","1","UiO-66","","50","951","11.00 ","6","4.00%","","6FDA-BisP","","45","","","","25","2","1.00 ","28.00 ","28.00 ","1.75 ","2.21 ","1.27 "
"3","","","UiO-66","","50","951","11.00 ","6","8.00%","","6FDA-BisP","","45","","","","25","2","1.00 ","28.00 ","28.00 ","2.19 ","2.86 ","1.30 "
"4","","","UiO-66","","50","951","11.00 ","6","14.00%","","6FDA-BisP","","45","","","","25","2","1.00 ","28.00 ","28.00 ","2.48 ","3.71 ","1.50 "
"5","","","UiO-66","","50","951","11.00 ","6","21.00%","","6FDA-BisP","","45","","","","25","2","1.00 ","28.00 ","28.00 ","6.46 ","5.54 ","0.86 "
"7","","","UiO-66","","50","951","11.00 ","6","4.00%","","6FDA-DAM","","45","","","","25","2","33.90 ","1000.00 ","29.50 ","1.25 ","1.29 ","1.03 "
"8","","","UiO-66","","50","951","11.00 ","6","8.00%","","6FDA-DAM","","45","","","","25","2","33.90 ","1000.00 ","29.50 ","1.61 ","1.75 ","1.08 "
"9","","","UiO-66","","50","951","11.00 ","6","14.00%","","6FDA-DAM","","45","","","","25","2","33.90 ","1000.00 ","29.50 ","1.78 ","1.87 ","1.05 "
"10","","","UiO-66","","50","951","11.00 ","6","23.00%","","6FDA-DAM","","45","","","","25","2","33.90 ","1000.00 ","29.50 ","5.85 ","2.38 ","0.41 "
"12","","","UiO-66","","50","951","11.00 ","6","4.00%","","6FDA-ODA","","100","","","","25","2","0.72 ","28.00 ","39.00 ","1.00 ","1.00 ","1.00 "
"13","","","UiO-66","","50","951","11.00 ","6","8.00%","","6FDA-ODA","","100","","","","25","2","0.72 ","28.00 ","39.00 ","0.99 ","1.34 ","1.36 "
"14","","","UiO-66","","50","951","11.00 ","6","17.00%","","6FDA-ODA","","100","","","","25","2","0.72 ","28.00 ","39.00 ","1.02 ","1.50 ","1.47 "
"15","","","UiO-66","","50","951","11.00 ","6","21.00%","","6FDA-ODA","","100","","","","25","2","0.72 ","28.00 ","39.00 ","8.29 ","2.57 ","0.31 "
"17","2018","2","UiO-66","","50","951","11.00 ","6","4.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.24 ","1.28 ","1.03 "
"18","","","UiO-66","","50","951","11.00 ","6","8.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.69 ","1.90 ","1.12 "
"19","","","UiO-66","","50","951","11.00 ","6","14.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.92 ","2.05 ","1.07 "
"20","","","UiO-66","","50","951","11.00 ","6","21.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","5.65 ","2.38 ","0.42 "
"21","","","UiO-66","NH2","","965","11.00 ","6","6.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.09 ","1.15 ","1.05 "
"22","","","UiO-66","NH2","","965","11.00 ","6","10.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.08 ","1.17 ","1.09 "
"23","","","UiO-66","NH2","","965","11.00 ","6","16.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.15 ","1.23 ","1.07 "
"24","","","UiO-66","NH2","","965","11.00 ","6","22.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","2.10 ","1.55 ","0.74 "
"25","","","UiO-66","NHCOCH3","","913","11.00 ","6","6.00%","acetic anhydride","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.08 ","1.17 ","1.09 "
"26","","","UiO-66","NHCOCH3","","913","11.00 ","6","11.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.09 ","1.20 ","1.11 "
"27","","","UiO-66","NHCOCH3","","913","11.00 ","6","16.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.11 ","1.25 ","1.12 "
"28","","","UiO-66","NHCOCH3","","913","11.00 ","6","24.00%","","6FDA-DAM","","125","","","","25","2","35.09 ","1000.00 ","28.50 ","1.80 ","1.45 ","0.81 "
"30","2015","3","UiO–66","","150","1080","11","6","30.00%","","Matrimid 9725","","85","","2.94","","35","9","0.19 ","5.90 ","31.20 ","2.32 ","2.66 ","1.15 "
"31","","","UiO–66","","150","1147","11","6","30.00%","BA","Matrimid 9725","","85","","2.91","","35","9","0.19 ","5.90 ","31.20 ","2.19 ","3.02 ","1.38 "
"32","","","UiO–66","","150","800","11","6","30.00%","ABA","Matrimid 9725","","85","","2.95","","35","9","0.19 ","5.90 ","31.20 ","1.59 ","2.31 ","1.45 "
