"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"152","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","3.19 ","3.04 ","0.95 "
"153","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","2.96 ","3.11 ","1.05 "
"154","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","2.83 ","2.66 ","0.94 "
"155","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","3.03 ","3.00 ","0.99 "
"156","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","3.42 ","3.08 ","0.90 "
"157","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","3.57 ","3.16 ","0.88 "
"158","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","3.60 ","3.38 ","0.94 "
"159","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","2.86 ","2.67 ","0.93 "
"160","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","3.07 ","3.10 ","1.01 "
"161","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","3.95 ","3.10 ","0.78 "
"162","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","3.59 ","3.19 ","0.89 "
"163","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","3.63 ","3.41 ","0.94 "
"164","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","2.87 ","2.80 ","0.98 "
"165","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","3.14 ","3.19 ","1.02 "
"166","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","3.50 ","3.18 ","0.91 "
"167","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","3.58 ","3.20 ","0.89 "
"168","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","3.73 ","3.50 ","0.94 "
"170","2014","15","MOF-5","cubic","55","2387","8.67","8.67","5.00%","note:c=cubic","PEI","","35","","","","25.0 ","3.0 ","0.09 ","1.68 ","18.67 ","1.33 ","1.37 ","1.03 "
"171","","","MOF-5","cubic","55","2387","8.67","8.67","15.00%","","PEI","","35","","","","25.0 ","3.0 ","0.09 ","1.68 ","18.67 ","1.67 ","1.91 ","1.15 "
"172","","","MOF-5","cubic","55","2387","8.67","8.67","25.00%","","PEI","","35","","","","25.0 ","3.0 ","0.09 ","1.68 ","18.67 ","2.56 ","3.21 ","1.26 "
"174","2014","16","T-MOF-5","tetragonal","90","1280","6.3","6.3","5.00%","note:T=tetragonal","PEI","","35","","","","25.0 ","6.0 ","0.09 ","1.70 ","18.89 ","1.11 ","1.12 ","1.01 "
"175","","","T-MOF-5","tetragonal","90","1280","6.3","6.3","15.00%","","PEI","","35","","","","25.0 ","6.0 ","0.09 ","1.70 ","18.89 ","1.22 ","1.24 ","1.01 "
"176","","","T-MOF-5","tetragonal","90","1280","6.3","6.3","25.00%","","PEI","","35","","","","25.0 ","6.0 ","0.09 ","1.70 ","18.89 ","1.33 ","1.76 ","1.32 "
"178","2016","17","Ni2(dobdc)/MOF-74","","17.5","1400","7.6","7.6","23.00%","","cellulose acetate","","","","","","25","1","0.11 ","3.50 ","30.60 ","1.09 ","1.08 ","0.99 "
"180","","","Ni2(dobdc)","","17.5","1400","7.6","7.6","23.00%","","matrimid ","","","","","","25","1","0.28 ","9.55 ","34.50 ","1.14 ","0.97 ","0.86 "
"182","","","Ni2(dobdc)","","17.5","1400","7.6","7.6","15.00%","","6FDA-DAT","","","","","","25","1","1.11 ","55.80 ","50.10 ","1.11 ","1.15 ","1.04 "
"184","","","Ni2(dobdc)","","17.5","1400","7.6","7.6","18.00%","","6FDA-DAM:DAT","","","","","","25","1","6.10 ","191.00 ","31.30 ","1.18 ","1.15 ","0.97 "
"186","","","Ni2(dobdc)","","17.5","1400","7.6","7.6","23.00%","","6FDA-DAM","","","","","","25","1","27.70 ","518.00 ","18.70 ","1.78 ","1.38 ","0.78 "
"188","","","Ni2(dobdc)","","17.5","1400","7.6","7.6","21.00%","","6FDA-durene","","","","","","25","1","34.78 ","626.00 ","18.00 ","2.42 ","1.65 ","0.68 "
"208","2018","21","KAUST-7","","80","248","4.7","4.7","11.00%","","6FDA-Durene","","50","","1.31","","35","2","31.46 ","755.00 ","24.00 ","1.00 ","1.19 ","1.19 "
"209","","","KAUST-7","","80","248","4.7","4.7","22.00%","","6FDA-Durene","","50","","1.43","","35","2","31.46 ","755.00 ","24.00 ","1.03 ","1.29 ","1.25 "
"210","","","KAUST-7","","80","248","4.7","4.7","33.00%","","6FDA-Durene","","50","","1.55","","35","2","31.46 ","755.00 ","24.00 ","1.01 ","1.35 ","1.33 "
"211","","","KAUST-7","","80","248","4.7","4.7","33.00%","","6FDA-Durene","","50","","1.55","","35","2","31.46 ","755.00 ","24.00 ","0.67 ","1.48 ","2.23 "
